image_name,piece_value,piece_type,area,bbox_x,bbox_y,bbox_w,bbox_h
1.png_mask.png,1,rook,5074.0,338,104,79,124
1.png_mask.png,2,rook,5698.0,1120,109,85,123
1.png_mask.png,3,pawn,3764.5,477,124,58,99
1.png_mask.png,4,pawn,3467.5,1025,138,62,97
1.png_mask.png,5,knight,5595.5,335,203,89,108
1.png_mask.png,6,knight,6149.5,1136,213,95,107
1.png_mask.png,7,pawn,3888.5,1034,218,66,98
1.png_mask.png,8,pawn,3889.0,467,221,60,97
1.png_mask.png,9,bishop,6002.5,342,285,81,124
1.png_mask.png,10,bishop,5852.0,1146,297,91,121
1.png_mask.png,11,pawn,4006.5,1034,318,68,93
1.png_mask.png,12,pawn,4254.0,454,321,65,95
1.png_mask.png,13,king,9572.5,294,353,108,170
1.png_mask.png,14,king,9976.5,1155,365,131,160
1.png_mask.png,15,pawn,4263.5,453,420,65,93
1.png_mask.png,16,pawn,4076.5,1036,421,69,92
1.png_mask.png,17,queen,10016.5,270,471,119,153
1.png_mask.png,18,queen,9713.5,1173,488,128,147
1.png_mask.png,19,pawn,4381.5,1069,525,76,92
1.png_mask.png,20,pawn,4387.5,442,526,67,93
1.png_mask.png,21,bishop,6923.0,1203,622,105,113
1.png_mask.png,22,bishop,6897.5,287,627,93,114
1.png_mask.png,23,pawn,4585.5,445,648,69,92
1.png_mask.png,24,pawn,4668.5,1083,651,76,91
1.png_mask.png,25,pawn,4982.0,427,772,76,90
1.png_mask.png,26,knight,6650.5,1214,774,118,96
1.png_mask.png,27,knight,6695.0,253,775,110,102
1.png_mask.png,28,pawn,4912.5,1101,783,82,89
1.png_mask.png,29,rook,8769.5,1241,896,125,110
1.png_mask.png,30,rook,8546.5,252,910,113,113
1.png_mask.png,31,pawn,5271.5,1111,910,87,86
1.png_mask.png,32,pawn,5181.0,419,932,79,87
28.png_mask.png,1,queen,7460.0,578,68,76,158
28.png_mask.png,2,rook,6159.0,340,106,79,128
28.png_mask.png,3,rook,5884.0,1121,110,86,123
28.png_mask.png,4,pawn,3819.0,478,126,59,100
28.png_mask.png,5,pawn,3455.0,1027,139,62,98
28.png_mask.png,6,pawn,3957.0,1036,219,66,99
28.png_mask.png,7,pawn,3394.5,590,220,59,92
28.png_mask.png,8,bishop,5879.0,1144,289,92,120
28.png_mask.png,9,knight,5987.5,584,299,71,119
28.png_mask.png,10,pawn,3951.0,921,327,62,93
28.png_mask.png,11,queen,8967.0,435,366,99,151
28.png_mask.png,12,pawn,4072.0,696,422,64,91
28.png_mask.png,13,pawn,4025.5,798,424,62,93
28.png_mask.png,14,rook,7381.0,1181,502,105,122
28.png_mask.png,15,rook,7225.5,292,508,96,124
28.png_mask.png,16,knight,6433.5,437,512,84,113
28.png_mask.png,17,pawn,4121.5,811,529,64,92
28.png_mask.png,18,pawn,4408.5,579,536,67,94
28.png_mask.png,19,king,11941.0,258,600,133,159
28.png_mask.png,20,pawn,4391.5,567,647,68,92
28.png_mask.png,21,knight,6430.5,938,655,96,98
28.png_mask.png,22,pawn,4551.5,1087,653,75,91
28.png_mask.png,23,king,12538.0,1223,734,156,146
28.png_mask.png,24,bishop,6905.0,416,763,86,112
28.png_mask.png,25,knight,6720.5,966,760,92,112
28.png_mask.png,26,pawn,4979.0,1104,785,83,90
28.png_mask.png,27,pawn,4639.0,714,791,71,92
28.png_mask.png,28,pawn,5086.0,550,920,76,89
28.png_mask.png,29,pawn,5039.0,982,921,80,88
37.png_mask.png,1,queen,7535.5,578,65,76,158
37.png_mask.png,2,rook,6110.5,339,103,80,127
37.png_mask.png,3,rook,5874.0,1120,106,86,123
37.png_mask.png,4,pawn,3744.5,478,123,58,99
37.png_mask.png,5,pawn,3610.5,1026,136,63,97
37.png_mask.png,6,pawn,3245.0,590,217,60,96
37.png_mask.png,7,pawn,3922.0,922,226,61,98
37.png_mask.png,8,knight,5644.0,578,287,69,114
37.png_mask.png,9,bishop,5821.5,1148,293,86,115
37.png_mask.png,10,pawn,3940.0,920,323,63,93
37.png_mask.png,12,pawn,4023.5,799,420,61,93
37.png_mask.png,13,rook,7037.5,1175,494,101,121
37.png_mask.png,14,rook,7455.5,292,505,95,123
37.png_mask.png,15,pawn,4403.0,579,533,67,94
37.png_mask.png,16,knight,5491.5,951,619,75,118
37.png_mask.png,17,pawn,4363.5,711,637,67,92
37.png_mask.png,18,pawn,4648.0,1086,649,76,91
37.png_mask.png,19,king,12749.0,236,727,138,156
37.png_mask.png,20,king,12696.5,1222,730,157,147
37.png_mask.png,21,knight,5981.0,567,758,81,111
